ngo_id,darpan_id,ngo_name,ngo_type,registration_no,district,state,sub_district,address,pincode,sectors,main_category,latitude,longitude,last_updated,migrated,record_id
107c07a0940f40ab82977c29721e8ea9,AP/2025/0872289,AADIVASI SWACHANDA SEVA SAMASTHA,Society,38 of 2024,ALLURI SITHARAMA RAJU,Andhra Pradesh,Chinthapalli,"Antharla Veedhi, Chintapalli Post",531111,"Aged/Elderly, Differently Abled, Education & Literacy, Health & Family Welfare, Skill Development, Tribal Affairs, Youth Affairs",health,,,2025-11-05T13:07:01,FALSE,
f06701c08c0640b069935129c37d68a3,AP/2025/0632363,AADYA EDUCATIONAL AND RURAL DEVELOPMENT SOCIETY,Society,246of2020,KURNOOL,Andhra Pradesh,Kurnool Rural,"Plot No 54, A Block, MSS BALAJI Villas Phase II, Pasupala Village, Kurnool",518220,Education & Literacy,social_welfare,,,2025-05-11T12:11:21,FALSE,
409a07500b0a40012b60fb0459a78fd9,AP/2024/0381724,AADYA EDUCATIONAL SOCIETY,Society,234 of 2018,SRI POTTI SRIRAMULU NELLORE,Andhra Pradesh,Nellore,"4-174/2, INAMADUGU,KOUR,NELLORE, ANDHRA PRADESH,INDIA",524137,Education & Literacy,social_welfare,,,2024-01-10T04:59:32,TRUE,
f06909803e0e406c02f7f124b3c71577,AP/2019/0223299,AADYAA SOCIETY FOR EDUCATION AND TRAINING,Society,349/2018,KRISHNA,Andhra Pradesh,VIJAYAWADA,"11-10, TF-5, YADAVAULA BAZAR,
PRASADAMPADU
VIJAYAWADA
521108",521108,"Animal Husbandry,  Dairying & Fisheries, Children, Differently Abled, Education & Literacy, Health & Family Welfare, Information & Communication Technology, Micro Small & Medium Enterprises, Minority Issues, Rural Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment, Youth Affairs",health,,,2019-01-24T17:23:11,TRUE,
d0a408700500407a24d5a04878ff6740,AP/2024/0463139,AAGAMAASHRAMAM,Trust,286 OF BOOK OF 84,EAST GODAVARI,Andhra Pradesh,RAJAMAHENDRAVARAM,"NH5, DIWANCHERUCU, RAJAMAHENDRAVARAM, EAST GODAVARI- 533296.",533296,"Aged/Elderly, Art & Culture",elderly_care,,,2024-11-06T11:34:23,TRUE,
50b10bf0810d400c12d5f45936ef2b83,AP/2022/0317070,AAIRA FOUNDATION,Society,123 OF 2022,SRIKAKULAM,Andhra Pradesh,SRIKAKULAM,"D.NO.16-17-41 FHAZUL BAGPETA,PURUSOTHAM NAGAR SRIKAKULAM",532001,"Art & Culture, Children, Differently Abled, Education & Literacy, Health & Family Welfare, Legal Awareness & Aid, Minority Issues, Nutrition, Skill Development, Women's Development & Empowerment",health,,,2022-08-18T15:30:33,TRUE,
30df0f90a80440310801460962651e90,AP/2016/0112349,AAKANKKSHA ORGANISATION FOR RURAL DEVELOPMENT,Society,337,CHITTOOR,Andhra Pradesh,TIRUPATI,"3-185 D MALLAVARAM VILLAGE
KUMMARAPALLI POST
RENIGUNTA MANDAL
CHITTOOR DISTRICT
ANDHRA PRADESH
517520",517520,"Aged/Elderly, Agriculture, Animal Husbandry,  Dairying & Fisheries, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues",health,,,2020-12-23T09:08:30,TRUE,
109604e0040940001a92863850ba3bf2,AP/2021/0289501,AAKANKSHA VISION FOR A BETTER SOCIETY,Society,60 of 2015,Y.S.R.,Andhra Pradesh,Proddutur,"26/389, Bangaraiah Kottala, Vasanthapeta, Proddutur, YSR Kadapa District, Andhra Pradesh516360",516360,"Agriculture, Animal Husbandry,  Dairying & Fisheries, Children, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Nutrition, Science & Technology, Sports, Water Resources, Youth Affairs",health,,,2021-07-27T15:36:06,TRUE,
e06b0400990440461230d72101af35d7,AP/2020/0268986,Aadhar Foundation,Society,462/2018,CHITTOOR,Andhra Pradesh,TIRUPATI,"4-4-900, NEHRU NAGAR, TIRUPATI, CHITTOOR DISTRICT, ANDHRA PRADESH-517501.",517501,"Agriculture, Animal Husbandry,  Dairying & Fisheries, Art & Culture, Children, Civic Issues, Dalit Upliftment, Differently Abled, Education & Literacy, Environment & Forests, Health & Family Welfare, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Legal Awareness & Aid, Minority Issues, Nutrition, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Vocational Training, Women's Development & Empowerment",health,,,2020-12-28T14:09:15,TRUE,
30e603c05c0a407b10d04553280b87e0,AP/2020/0253523,AADHARANA FOUNDATION,Trust,1796,WEST GODAVARI,Andhra Pradesh,Narsapur,"D NO 1-133 GADI VARI THOTA, RUSTUMBADA , NARSAPUR-534275",534275,"Aged/Elderly, Agriculture, Animal Husbandry,  Dairying & Fisheries, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Minority Issues, Panchayati Raj, Rural Development & Poverty Alleviation, Science & Technology, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs",health,,,2020-03-09T13:52:29,TRUE,
e04f0390700140fb25084e28f35b14c1,AP/2024/0470774,AADHARANA HASTHAM,Trust,Oct-18,KRISHNA,Andhra Pradesh,kaikaluru,kalidindi kalidindi post mandal krishna 521344,521344,,other,,,2024-12-04T12:57:34,TRUE,
50e00c800909409b2321706603c85e61,AP/2024/0419003,AADHARANA KARTHA SHARON CHARITABLE FOUNDATION,Trust,45-2021,GUNTUR,Andhra Pradesh,GUNTUR,"26-39-129/235, BHAVANI PURAM , Guntur Collectorate S.O, Guntur, GUNTUR, 522004, Andhra Pradesh, INDIA
",522004,"Aged/Elderly, Children, Civic Issues, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing",environment,,,2024-06-22T14:38:21,TRUE,
c01f0970310740f918867085d2d85038,AP/2023/0336278,AADHARANA SANGAM,Society,308/2022,CHITTOOR,Andhra Pradesh,TIRUPATI,"D.No: 6-1-64/A31, Varada Raja Nagar, Tirupati Urban,TirupatiDistrict, Andhra Pradesh , INDIA-517501",517501,"Aged/Elderly, Skill Development",elderly_care,,,2023-02-23T18:13:05,TRUE,
403201e0860a40b49a161464c81b5cb7,AP/2026/0966857,AADHYA GRANDE OWNERS WELFARE ASSOCIATION KANURU,Society,331 of 2025,KRISHNA,Andhra Pradesh,Penamaluru,"D No 18-723/3, Flat No 1210, KALPANA NAGAR, NAVATHA ROAD, OPPOSITE TO SCOTSPINE INTERNATIONAL SCHOOL, KANURU, KRISHNA DIST, ANDHRA PRADESH - 520007.",520007,Housing,other,,,2026-01-23T10:18:21,FALSE,
207000c06806402d20a1c34ea7db9930,AP/2023/0377726,AADHYA HEALTH AND EDUCATIONAL SOCIETY,Society,535 of 2015,KURNOOL,Andhra Pradesh,KURNOOL,"H NO. 80/11-76-17-1,
SECOND FLOOR,
ADITYA NAGAR,
KRISHNA NAGAR,",518002,Health & Family Welfare,health,,,2023-12-24T18:48:52,TRUE,
d0fd08d0b80140af69d79973b66850e1,AP/2025/0677651,AADHYASRI EDUCATIONAL SOCIETY,Society,293/2019,NTR,Andhra Pradesh,Nandigama,"10-99, CHINNA KAKATIYA SCHOOL TO VIJAYA TALKI",521185,Education & Literacy,social_welfare,,,2025-06-16T09:32:07,FALSE,
802e0360540c40f33db1a950a8772482,AP/2025/0513658,AADITRI EXOTICA RESIDENTS WELFARE ASSOCIATION,Society,130OF2022,GUNTUR,Andhra Pradesh,GUNTUR,"SURVEY NO 102/1,102/2,KORETIPADU,VIDYA NAGAR,GUNTUR",522006,,other,,,2025-02-03T20:50:01,TRUE,
a0d50690ba0040c67ea71594933c6b29,AP/2025/0779369,AADITYA A1 EDUCATIONAL FOUNDATION,Section 8 Company,U85500AP2025NPL120512,VISAKHAPATNAM,Andhra Pradesh,Pedagantyada,"18-56-1/1, HB Colony, Revenue ward 52, H B Colony, Visakhapatnam, Visakhapatnam- 530044",530044,Education & Literacy,social_welfare,,,2025-08-18T16:27:32,FALSE,
90a80170570a40a226e9cc37c7cc0674,AP/2024/0474048,AAPADBHANDAVA SEVA SOCIETY,Society,108 of 2015,KURNOOL,Andhra Pradesh,NANDYAL,"25-698Srinivasa Nagar
Nandyal",518501,Education & Literacy,social_welfare,,,2024-12-20T19:25:28,TRUE,
90d708401a0c404128f5783554a021f6,AP/2024/0462750,AAPADBHANDHAVAN FOUNDATION,Section 8 Company,U8900AP2024NPL116508,EAST GODAVARI,Andhra Pradesh,EAST GODAVARI,"63/5 SITAMMA COLONY,
LANKALA GANNAVARAM,
P. GANNAVARAM MANDAL,
DR.B.R. AMBEDKAR KONASEEMA DISTRICT,
ANDHRA PRADESH, PIN CODE: 533240
",533240,,other,,,2024-11-05T16:26:12,TRUE,
b09604507608404a07f6048523ee4a61,AP/2018/0208786,AAPI TANA HOSPITAL,Trust,273/93,Y.S.R.,Andhra Pradesh,KADAPA,"ELLAYAPALLE VILLAGE AND POST
OBULAVARIPALLI MANDAL
",516108,Health & Family Welfare,health,,,2018-11-08T17:28:35,TRUE,
c0540690a005404877d2972154110e09,AP/2025/0722409,Aaptamitra charitable trust,Trust,41/2018,KAKINADA,Andhra Pradesh,Kajuluru,"D.N3-116, PEDDA VEEDHI, GOLLAPALEM,KAJULURU MANDAL",533468,"Education & Literacy, Food Processing",social_welfare,,,2025-07-12T12:34:04,FALSE,
90c60ac06e03404d2a96a699461f7ce6,AP/2024/0466861,AAPYAYATA WELFARE ASSOCIATION,Society,317 OF 2024,GUNTUR,Andhra Pradesh,MUTLURU,"DOOR NO.11, MUTLURU VILLAGE, VATTICHERUKURU MANDAL, GUNTUR DISTRICT,PIN522212",522212,"Agriculture, Animal Husbandry,  Dairying & Fisheries, Animal Welfare, Children, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare",health,,,2024-11-18T16:43:18,TRUE,
601107105a00401173a2531b89de3b45,AP/2025/0721935,AARADHANA TRUST,Trust,85/2022,NTR,Andhra Pradesh,Vissannapeta,"TATAKUNTLA POST, VISSANNAPETA MANDAL, NTR DISTRICT ANDHRA PRADESH PIN NO 521215",521215,"Aged/Elderly, Agriculture, Children, Differently Abled, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Human Rights",health,,,2025-07-11T18:34:32,FALSE,
40430540a90b411d07c0d382b51e2a17,AP/2026/1008527,AARADHANAARTSACADEMYPUBLICCHARITABLETRUST,Trust,16/BK-IV/2016,GUNTUR,Andhra Pradesh,Guntur West,"D.No.4-14-48, Flat No.204,
KVR Enclave, 3rd Lane,
Anjaneyapet, Koritipadu,
Guntur-522007",522004,"Art & Culture, Youth Affairs",other,,,2026-03-07T20:41:58,FALSE,
807401b0f107407c19a8ec4788207728,AP/2023/0357926,AARADHYA ACADEMY OF MUSIC AND DANCE KUCHIPUDI,Society,215/2021,KRISHNA,Andhra Pradesh,MOVVA,3-179 kuchipudi panchayithi movva Andhra pradesh 521136,521136,,other,,,2023-09-19T16:47:17,TRUE,
d09905f0b208409711c65817c5603ff0,AP/2022/0334178,AARADHYA CHARITABLE TRUST,Trust,4 OF 2022,KRISHNA,Andhra Pradesh,Mylavaram,"2-18, Praja Vaidyasala Road
Rajapeta
Mylavaram
521230
",521230,"Aged/Elderly, Children, Civic Issues, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Human Rights, Labour & Employment, Legal Awareness & Aid, New & Renewable Energy, Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs",health,,,2023-01-10T17:44:44,TRUE,
40a10f30020a401a20b77189d3a96454,AP/2024/0455609,AARADHYA ENCLAVE WELFARE SOCIETY,Society,No: 259 of 2024,VISAKHAPATNAM,Andhra Pradesh,Visakhpatnam,"18-118/4/GF-1, MADHURAWADA, MADHURAVADA(U), VISAKHAPATNAM",530048,,other,,,2024-10-07T10:34:44,TRUE,
609f0020f00a40472250537e297826f7,AP/2024/0416627,A P J ABDUL KALAM FOUNDATION,Society,34 OF 2024,PRAKASAM,Andhra Pradesh,ONGOLE,"D.No. 4-181(3), Satyanarayanapuram, Revenue Ward No. 31, Ongole",523001,"Aged/Elderly, Agriculture, Animal Husbandry,  Dairying & Fisheries, Animal Welfare, Art & Culture, Children, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Rural Development & Poverty Alleviation, Skill Development, Urban Development & Poverty Alleviation, Vocational Training, Water Resources",environment,,,2024-05-18T07:41:36,TRUE,
20a006e04f09401968624225001d41c9,AP/2025/0622049,A P PRIVATE HOSPITALS & NURSING HOMES ASSOCIATION,Society,374 OF 2024,NTR,Andhra Pradesh,Vijayawada Central,"DOOR NO 27-1-11, REV WARD NO 21A, VIJAYAWADA",520001,"Health & Family Welfare, Science & Technology",health,16.501594,80.647277,2025-05-09T16:19:28,FALSE,
70020a307a0b41ab0e834b8bf6838a65,AP/2026/1038685,A p s educational society,Society,187 of 2025,KURNOOL,Andhra Pradesh,Kosigi,"2-179B
B.c colony 
Duddi 
Kosigi 
Kurnool 
Andhra Pradesh 
518313",518313,"Art & Culture, Education & Literacy, Science & Technology, Skill Development, Sports",social_welfare,,,2026-03-23T18:16:34,FALSE,
20360d109c0840f83e51b11ac6791a70,AP/2025/0508612,A P TAX PRACTITIONERS AND CONSULTANTS ASSOCIATION,Society,121/2016,GUNTUR,Andhra Pradesh,GUNTUR,F.NO.202 M M HEIGHTS 3/3 VIKAS NAGAR GUNTUR,522006,Skill Development,other,,,2025-01-30T19:47:51,TRUE,
b0b90fb02d0b400c2226dc3b819f97c7,AP/2024/0451115,A P TRIBAL WELFARE RESIDENTIAL EDUCATIONAL INSTITUTIONALS SOCIETY,Trust,454 OF 2014,GUNTUR,Andhra Pradesh,TADEPALLI,"Moksha sai plaza, 3rd floor, Tadepalli, Guntur district, 522501",522501,Education & Literacy,social_welfare,,,2024-09-23T12:10:28,TRUE,
102608702e0540938a28d021c54284f3,AP/2025/0882583,A P YERUKULA DEVELOPMENT ASSOCIATION,Society,148 OF 2025,ANNAMAYYA,Andhra Pradesh,Rayachoti,"Door No 51/142-5-75-5, N G O Colony",516269,"Agriculture, Children, Education & Literacy, Environment & Forests, Human Rights",environment,,,2025-11-13T08:37:57,FALSE,
a09807702c0040aa3841b50ed52d2b77,AP/2025/0507337,A R FOUNDATION,Trust,23/IV/2022,GUNTUR,Andhra Pradesh,Guntur,"D No 82/5/430, Sampath Nagar, 5th line, Near Appadala Company, Guntur, Andhra Pradesh",522003,"Children, Rural Development & Poverty Alleviation, Skill Development, Women's Development & Empowerment",social_welfare,,,2025-01-28T19:36:31,TRUE,
303407007d0f40236554e72602a53c97,AP/2025/0642237,A S C EDUCATIONAL SOCIETY,Society,755/2010,VISAKHAPATNAM,Andhra Pradesh,Visakhapatnam (Rural),"2nd floor,satya surya complex,dwarakanagar,visakhapatnam.",530016,"Children, Education & Literacy",social_welfare,,,2025-05-20T11:25:25,FALSE,
505d05c0f00640c031021d1994129c00,AP/2025/0520377,A S CHRISTIAN EDUCATION SOCIETY,Society,752/2010,VISAKHAPATNAM,Andhra Pradesh,Visakhpatnam,"Satya Surya Complex, Dwarka Nagar, Visakhapatnam, Andhra Pradesh.",530016,,other,,,2025-02-12T07:39:28,TRUE,
20120ad0f00140370175749b386a89b8,AP/2018/0206073,A S N RAJU SOCIETY FOR SOCIAL WELFARE AND RURAL DEVELOPMENT,Society,245 OF 2018,WEST GODAVARI,Andhra Pradesh,BHIMAVARAM,"ASN RAJU SOCIETY FOR SOCIAL WELFARE AND RURAL DEVELOPMENT, D.NO: 2-1-50, FLAT NO: 502, SVR TOWERS, JUVVALAPALEM ROAD, BHIMAVARAM, WEST GODAVARI DISTRICT, ANDHRA PRADESH, INDIA",534202,"Aged/Elderly, Agriculture, Animal Husbandry,  Dairying & Fisheries, Biotechnology, Children, Dalit Upliftment, Differently Abled, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Labour & Employment, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Sports, Tourism, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs",health,,,2018-08-20T18:49:40,TRUE,
a0cd0760d50040b50ed1d717c65b6472,AP/2009/0022984,A G R A,Society,987/1995,ANANTHAPURAMU,Andhra Pradesh,ANANTAPUR,"13-2-264
RAMACHANDRA NAGAR
ANANTAPUR - 515 001
ANDHRA PRADESH",,"Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Human Rights, Legal Awareness & Aid, Micro Small & Medium Enterprises, Panchayati Raj, Rural Development & Poverty Alleviation, Science & Technology, Tribal Affairs, Women's Development & Empowerment",health,,,,TRUE,
